No,Nama Destinasi,Provinsi,Kategori,Rating,Jumlah pengujung/bulan,Harga Tiket Masuk (IDR),Fasilitas Utama,Latitude,Longitude,Link Gambar
21,Candi Muaro Jambi,Jambi,Sejarah & Budaya,4.4,80766,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-2.03881,103.79898,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Candi_Muaro_Jambi_dengan_langit_biru.jpg/960px-Candi_Muaro_Jambi_dengan_langit_biru.jpg
22,Pulau Lengkuas,Kepulauan Bangka Belitung,Pulau & Bahari,4.6,49262,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-2.39512,105.96327,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Lengkuas_Island.JPG/960px-Lengkuas_Island.JPG
23,Pantai Tanjung Tinggi,Kepulauan Bangka Belitung,Pantai & Bahari,4.3,130117,10000,"Area Parkir, Toilet, Spot Foto, Mushola",-2.42553,106.22185,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Tanjung_Tinggi_Beach%2C_Bangka-Belitung_Province%2C_Indonesia.jpg/960px-Tanjung_Tinggi_Beach%2C_Bangka-Belitung_Province%2C_Indonesia.jpg
24,Ngarai Sianok,Sumatera Barat,Alam & Lembah,4.4,28776,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-1.11184,100.99674,https://live.staticflickr.com/3568/3772092398_d2fdd913c1_b.jpg
25,Jam Gadang,Sumatera Barat,Landmark & Sejarah,4.5,133376,50000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-0.60106,101.17747,https://live.staticflickr.com/606/32260049504_ed369e6515_b.jpg
26,Pulau Weh (Sabang),Aceh,Pulau & Bahari,4.5,142848,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",4.92507,97.04348,https://live.staticflickr.com/4088/5086942715_3ac7278c57.jpg
27,Taman Mini Indonesia Indah,DKI Jakarta,Rekreasi & Budaya,4.7,251514,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-6.41797,106.48744,https://live.staticflickr.com/293/19779458583_0817e19b4a_b.jpg
28,Monas (Monumen Nasional),DKI Jakarta,Landmark & Sejarah,4.3,295841,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-5.94939,107.11683,https://live.staticflickr.com/1423/1202039057_986bb35857_b.jpg
29,Taman Impian Jaya Ancol,DKI Jakarta,Taman Hiburan,4.6,130948,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-5.70949,106.72262,https://upload.wikimedia.org/wikipedia/commons/1/18/Giant_freshwater_stingray.JPG
30,Kebun Raya Bogor,Jawa Barat,Taman & Alam,4.6,313342,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-7.03798,107.87641,https://live.staticflickr.com/2132/2165893422_21d3da1052.jpg
31,Gunung Tangkuban Perahu,Jawa Barat,Alam & Pegunungan,4.2,106814,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-7.0692,108.03076,https://live.staticflickr.com/2198/2490762267_839ca24c6c_b.jpg
32,Kawah Putih Ciwidey,Jawa Barat,Alam & Pegunungan,4.6,384108,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-6.55159,107.52899,https://live.staticflickr.com/3253/3159470428_59ca699f78.jpg
33,Cukang Taneuh (Green Canyon),Jawa Barat,Alam & Sungai,4.3,377867,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-6.65913,107.85454,https://live.staticflickr.com/2488/3693508182_eb0bc7f9fc_b.jpg
34,Pantai Pangandaran,Jawa Barat,Pantai & Bahari,4.2,232836,10000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-7.30688,108.00255,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Pantai_Pangandaran.jpg/960px-Pantai_Pangandaran.jpg
35,Taman Nasional Ujung Kulon,Banten,Taman Nasional & Fauna,4.9,18545,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-6.11475,106.47646,https://upload.wikimedia.org/wikipedia/commons/4/41/Logo_TN_Ujung_Kulon.png
36,Kampung Baduy,Banten,Budaya & Desa Wisata,4.9,132659,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-6.29995,106.54552,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Raiyani_Muharramah-Pakaian_badui_luar_DSCF2964.jpg/960px-Raiyani_Muharramah-Pakaian_badui_luar_DSCF2964.jpg
37,Pantai Tanjung Lesung,Banten,Pantai & Bahari,4.8,78530,10000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-6.2308,105.66084,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Pantai_Tanjung_Lesung_03.jpg/960px-Pantai_Tanjung_Lesung_03.jpg
38,Lawang Sewu,Jawa Tengah,Sejarah & Budaya,4.4,98557,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-6.74462,109.73129,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Lawang_sewu_semarang.jpg/960px-Lawang_sewu_semarang.jpg
39,Dataran Tinggi Dieng,Jawa Tengah,Alam & Pegunungan,4.3,66087,50000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-7.33069,110.59006,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/051_Dieng_Sunrise.jpg/960px-051_Dieng_Sunrise.jpg
40,Keraton Yogyakarta,DI Yogyakarta,Sejarah & Budaya,4.7,131240,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-7.33939,110.43344,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Yogyakarta_Sultanate_Hamengkubhuwono_X_Emblem.svg/960px-Yogyakarta_Sultanate_Hamengkubhuwono_X_Emblem.svg.png
41,Jalan Malioboro,DI Yogyakarta,Landmark & Budaya,4.5,291309,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-7.65816,110.30845,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Malioboro_Street%2C_Yogyakarta.JPG/960px-Malioboro_Street%2C_Yogyakarta.JPG
42,Gua Jomblang,DI Yogyakarta,Alam & Gua,4.3,279719,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-7.99679,110.18866,https://www.google.com/search?sca_esv=efcb37deddedd20f&sxsrf=APpeQns11PTnt4n6xh0qseHay2NSn60TTg:1783920145261&udm=2&fbs=ABfTbFWmYwLIYNEMFfx8WgwsNlLadbcE8fH58fgKnxgAKM0OHHNuCXdecYKiScx3XXFqtW4hzodVMxY_Gz7AVFxnG214-C3hai5lXSosHfDqmQXwvwEy2uN7Pdx24ftm3aL-OKoLwiEYEA9aGi6w661_7ksmLGglfKnodf_ozgue5_MrS2QRCSlKBvFwKRHVrtiA6OQIA1Wc76Dzkm9DohoYaRxsFxDpTQ&q=Gua+Jomblang&sa=X&ved=2ahUKEwjchMO09M6VAxWeUWwGHU6eIfYQtKgLegQIDBAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLWF0a0x6amNPemxlWlRNMg5hdGtMempjT3psZVpUTToObnM5bVJCRDFtZ0Z6Zk0gBCoXCgFzEhBlLWF0a0x6amNPemxlWlRNGAEwARgHIMz484sJSggQARgBIAEoAQ
43,Pantai Parangtritis,DI Yogyakarta,Pantai & Bahari,4.5,109504,10000,"Area Parkir, Mushola, Toilet, Spot Foto",-7.61748,110.61237,https://upload.wikimedia.org/wikipedia/commons/d/db/Sandboarding_di_Gumuk_Pasir_Parangtritis%2C_Yogyakrata.jpg
44,Museum Angkut,Jawa Timur,Museum & Edukasi,4.2,57733,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-7.23842,112.51962,https://live.staticflickr.com/7251/26207934473_b657c51b9e_b.jpg
45,Jatim Park 1,Jawa Timur,Taman Hiburan,4.8,70318,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-7.93879,112.22442,https://upload.wikimedia.org/wikipedia/commons/4/4a/Wahana_Roller_Coaster_Jatim_Park_1_Indonesia.jpg
46,Taman Nasional Baluran,Jawa Timur,Taman Nasional & Fauna,4.4,72172,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-7.97244,112.27953,https://upload.wikimedia.org/wikipedia/commons/6/65/Pemandangan_Gunung_Taman_Nasional_Baluran.jpg
47,Pulau Maratua,Kalimantan Timur,Pulau & Bahari,4.7,98264,50000,"Area Parkir, Mushola, Toilet, Spot Foto",0.44153,116.7977,https://upload.wikimedia.org/wikipedia/commons/9/95/Maratua_-_Indonesia%27s_Heaven.jpg
48,Tugu Khatulistiwa,Kalimantan Barat,Landmark & Sejarah,4.4,31736,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-0.41908,111.08707,https://upload.wikimedia.org/wikipedia/commons/7/7d/Rumah_Radakng_Kalimantan_Barat_%284%29.jpg
49,Danau Sentarum,Kalimantan Barat,Alam & Danau,4.6,117859,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-0.62701,111.73151,https://upload.wikimedia.org/wikipedia/commons/d/de/Danau_Sentarum_2006.jpg
50,Pasar Terapung Lok Baintan,Kalimantan Selatan,Budaya & Tradisi,4.6,117181,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-2.97178,114.88112,https://www.google.com/search?sca_esv=efcb37deddedd20f&sxsrf=APpeQnvE-YgEJX00zQ6aNEbkgFEEysZ8sQ:1783920207037&udm=2&fbs=ABfTbFWvNQlRqaAt4Jc72lybpvGZ9eXwOyFzMh0ed0brGj8oql695TteBOAyStHMgJeuxnk9x4EEiVtC0mzOaquf4IrYpCQkbl1cUwyxuP4esT0JEamwV_lN5sD00WwqnKgn0OYhe-aYbDDUEu9ZUuGjDc8mFTuAw53bysvhY3MRmgJULpz6Np3VpsI_m2BfbiuclPixK-vCccQcs2xQELScMbbRDDoYFA&q=Pasar+Terapung+Lok+Baintan&sa=X&ved=2ahUKEwiF2P3R9M6VAxXbR2wGHXRLKpEQtKgLegQIEhAB&biw=638&bih=584&dpr=1.5#sv=CAMSURoyKhBlLXc4UkdjcUhhMS1YeWlNMg53OFJHY3FIYTEtWHlpTToOamtBU3pmdWtSbVVnVE0gBCoXCgFzEhBlLXc4UkdjcUhhMS1YeWlNGAEwARgHIPOpmfMOSggQARgBIAEoAQ
51,Taman Laut Wakatobi,Sulawesi Tenggara,Taman Nasional & Bahari,4.3,136926,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-4.55589,122.24097,https://upload.wikimedia.org/wikipedia/commons/2/2c/Memasang_transek_karang_di_Pulau_Tomia.jpg
52,Danau Poso,Sulawesi Tengah,Alam & Danau,4.9,95084,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-1.85724,121.76186,https://upload.wikimedia.org/wikipedia/commons/5/5b/Danau_poso_scene-sulawesi_tengah-indonesia.jpg
53,Kepulauan Togean,Sulawesi Tengah,Pulau & Bahari,4.7,12392,50000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-1.22376,121.02135,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Kabalutan_Bajau_village.jpg/960px-Kabalutan_Bajau_village.jpg
54,Pulo Cinta,Gorontalo,Pulau & Bahari,4.9,60680,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",0.12484,123.54664,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/A_Side_of_Pulo_Cemeti.jpg/960px-A_Side_of_Pulo_Cemeti.jpg
55,Pantai Ora,Maluku,Pantai & Bahari,4.8,55859,10000,"Area Parkir, Mushola, Toilet, Spot Foto",-3.35573,130.01064,https://upload.wikimedia.org/wikipedia/commons/d/d2/Panorama_Pantai_Ora.jpg
56,Banda Neira,Maluku,Pulau & Sejarah,4.6,130657,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-2.9172,130.58725,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bandaneira-0039.JPG/960px-Bandaneira-0039.JPG
57,Pulau Morotai,Maluku Utara,Pulau & Sejarah,4.8,75467,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",2.056,128.05338,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Morotai_Topography.png/960px-Morotai_Topography.png
58,Lembah Baliem,Papua Pegunungan,Budaya & Alam,4.3,103506,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-4.18374,138.5135,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Vall%C3%A9e_de_Baliem_en_Papouasie_%28Indon%C3%A9sie%29_Trek.JPG/960px-Vall%C3%A9e_de_Baliem_en_Papouasie_%28Indon%C3%A9sie%29_Trek.JPG
59,Danau Sentani,Papua,Alam & Danau,4.3,114751,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-3.98285,138.1384,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Sentani_Lake.jpg/960px-Sentani_Lake.jpg
60,Puncak Jaya (Carstensz),Papua Tengah,Alam & Pegunungan,4.2,123906,50000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-4.19578,137.55635,https://upload.wikimedia.org/wikipedia/commons/9/95/Puncak_Jaya_%28NASA_astronaut_photograph%29.jpg
61,Goa Gong,Jawa Timur,Alam & Goa,4.4,148760,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-7.9188,112.22263,https://live.staticflickr.com/65535/51858193792_4ab4e13254_b.jpg
62,Pantai Klayar,Jawa Timur,Pantai & Bahari,4.5,30342,10000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-8.01865,112.19866,https://live.staticflickr.com/8372/8512385734_dbeff41a8c_b.jpg
63,Air Terjun Madakaripura,Jawa Timur,Alam & Air Terjun,4.4,111308,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-7.9737,111.84882,https://upload.wikimedia.org/wikipedia/commons/d/d5/Indonesia_Madakaripura_Waterfall.jpg
64,Curug Cikaso,Jawa Barat,Alam & Air Terjun,4.8,343560,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-7.29247,107.74921,https://live.staticflickr.com/5496/10941867574_1120dbcf1a_b.jpg
65,Pantai Sawarna,Banten,Pantai & Bahari,4.4,94045,10000,"Area Parkir, Toilet, Spot Foto, Mushola",-5.87396,106.23337,https://live.staticflickr.com/8091/8556918305_91030c6332_b.jpg
66,Gua Pindul,DI Yogyakarta,Alam & Sungai,4.4,156388,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-7.32783,110.23487,https://live.staticflickr.com/654/20865919954_461afefa22_b.jpg
67,Bukit Merese,Nusa Tenggara Barat,Alam & Bukit,4.6,115078,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-8.86429,117.7286,https://upload.wikimedia.org/wikipedia/commons/4/49/Merese.jpg
68,Pantai Pink,Nusa Tenggara Timur,Pantai & Bahari,4.3,85623,10000,"Area Parkir, Mushola, Toilet, Spot Foto",-8.8964,121.53322,https://live.staticflickr.com/8444/7981606201_fb5bac9f92_b.jpg
69,Pulau Padar,Nusa Tenggara Timur,Pulau & Alam,4.8,27671,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-9.10785,121.53988,https://upload.wikimedia.org/wikipedia/commons/c/c9/Padar_beach.jpg
70,Danau Kelimutu,Nusa Tenggara Timur,Alam & Danau,4.3,98384,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-9.07684,121.46114,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Danau_Kelimutu_2013.jpg/960px-Danau_Kelimutu_2013.jpg
71,Air Terjun Sipiso-piso,Sumatera Utara,Alam & Air Terjun,4.9,91202,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-2.0823,100.03296,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/AIR_TERJUN_SIPISO-PISO_%28SUMUT%29.jpg/960px-AIR_TERJUN_SIPISO-PISO_%28SUMUT%29.jpg
72,Bukit Lawang,Sumatera Utara,Alam & Fauna,4.7,56663,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-2.5362,99.59385,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Bukit_Lawang%2C_Langkat_Regency%2C_North_Sumatra%2C_Indonesia.jpg/960px-Bukit_Lawang%2C_Langkat_Regency%2C_North_Sumatra%2C_Indonesia.jpg
73,Lembah Harau,Sumatera Barat,Alam & Lembah,4.3,20708,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-0.2607,100.8231,https://upload.wikimedia.org/wikipedia/commons/f/fe/Lembah_harau_50_kota.jpg
74,Istana Pagaruyung,Sumatera Barat,Sejarah & Budaya,4.2,96906,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-0.6006,100.99575,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Istano_Rajo_Basa_Pagaruyung.jpg/960px-Istano_Rajo_Basa_Pagaruyung.jpg
75,Danau Maninjau,Sumatera Barat,Alam & Danau,4.8,54811,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-0.77546,100.92756,https://upload.wikimedia.org/wikipedia/commons/f/f3/Maninjau.jpg
76,Alun-Alun Banda Aceh,Aceh,Rekreasi & Taman,4.7,138883,0,"Area Parkir, Toilet, Warung Makan, Spot Foto",4.77431,97.14116,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Meuseujid_Raya_Bayturrahman.JPG/960px-Meuseujid_Raya_Bayturrahman.JPG
77,Alun-Alun Sabang,Aceh,Rekreasi & Taman,4.7,61250,0,"Area Parkir, Toilet, Spot Foto, Mushola",4.23545,96.52096,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Tugu_KM_0_Sabang.png/960px-Tugu_KM_0_Sabang.png
78,Alun-Alun Lhokseumawe,Aceh,Rekreasi & Taman,4.7,117547,0,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",5.14041,97.13026,https://live.staticflickr.com/941/43729341261_22b24a80b7_b.jpg
79,Alun-Alun Langsa,Aceh,Rekreasi & Taman,4.3,129249,0,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",4.64566,96.86013,https://upload.wikimedia.org/wikipedia/commons/a/a0/Lokasi_Aceh_Kota_Langsa.svg
80,Alun-Alun Subulussalam,Aceh,Rekreasi & Taman,4.5,39754,0,"Area Parkir, Toilet, Warung Makan, Spot Foto",4.46738,96.42812,https://upload.wikimedia.org/wikipedia/commons/4/48/Lokasi_Aceh_Kota_Subulussalam.svg
81,Alun-Alun Medan,Sumatera Utara,Rekreasi & Taman,4.3,147483,0,"Area Parkir, Mushola, Toilet, Spot Foto",-2.1463,99.39335,https://upload.wikimedia.org/wikipedia/commons/7/77/Lokasi_Sumatra_Utara_Kota_Medan.svg
82,Alun-Alun Binjai,Sumatera Utara,Rekreasi & Taman,4.8,138983,0,"Area Parkir, Mushola, Toilet, Spot Foto",-2.02634,99.11773,https://upload.wikimedia.org/wikipedia/commons/9/9b/Lokasi_Sumatra_Utara_Kota_Binjai.svg
83,Alun-Alun Tebing Tinggi,Sumatera Utara,Rekreasi & Taman,4.6,144752,0,"Area Parkir, Toilet, Warung Makan, Spot Foto",-1.63561,100.02621,https://upload.wikimedia.org/wikipedia/commons/b/be/Tebing_Tinggi_armcoats.png
84,Alun-Alun Pematangsiantar,Sumatera Utara,Rekreasi & Taman,4.4,89896,0,"Area Parkir, Mushola, Toilet, Spot Foto",-1.91184,99.5761,https://upload.wikimedia.org/wikipedia/commons/5/5c/Lokasi_Sumatra_Utara_Kota_Pematangsiantar.svg
85,Alun-Alun Tanjungbalai,Sumatera Utara,Rekreasi & Taman,4.2,76295,0,"Area Parkir, Mushola, Toilet, Spot Foto",-2.30047,99.8538,https://upload.wikimedia.org/wikipedia/commons/9/97/Lokasi_Sumatra_Utara_Kota_Tanjungbalai.svg
86,Alun-Alun Sibolga,Sumatera Utara,Rekreasi & Taman,4.4,105689,0,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-1.92527,99.20262,https://upload.wikimedia.org/wikipedia/commons/6/66/Lokasi_Sumatra_Utara_Kota_Sibolga.svg
87,Alun-Alun Padangsidempuan,Sumatera Utara,Rekreasi & Taman,4.4,16111,0,"Area Parkir, Mushola, Toilet, Spot Foto",-1.69907,99.86254,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Welcome_gate_to_City_of_Padangsidimpuan_-_Gapura_Kota_Padangsidimpuan_%28Padangsidimpuan_Batunadua-Angkola_Timur%29_%2801%29.jpg/960px-Welcome_gate_to_City_of_Padangsidimpuan_-_Gapura_Kota_Padangsidimpuan_%28Padangsidimpuan_Batunadua-Angkola_Timur%29_%2801%29.jpg
88,Alun-Alun Gunungsitoli,Sumatera Utara,Rekreasi & Taman,4.7,42504,0,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-1.6602,99.76572,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Nias_Earthquake_Memorial_Park.jpg/960px-Nias_Earthquake_Memorial_Park.jpg
89,Alun-Alun Padang,Sumatera Barat,Rekreasi & Taman,4.6,137874,0,"Area Parkir, Toilet, Warung Makan, Gazebo",-0.61658,100.71824,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Padang_Kota_yang_Dikelilingi_Bukit_dan_Lautan.jpg/960px-Padang_Kota_yang_Dikelilingi_Bukit_dan_Lautan.jpg
90,Alun-Alun Bukittinggi,Sumatera Barat,Rekreasi & Taman,4.8,13155,0,"Area Parkir, Toilet, Spot Foto, Mushola",-0.29727,101.16606,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Bukittinggi_Montage.jpg/960px-Bukittinggi_Montage.jpg
91,Alun-Alun Payakumbuh,Sumatera Barat,Rekreasi & Taman,4.5,44384,0,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-1.18478,100.32637,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Gedung_DPRD_Payakumbuh.jpg/960px-Gedung_DPRD_Payakumbuh.jpg
